"""%s"" is not available in the requested quantity. %s of the items will be backordered.","İstediğiniz adette ""%s"" stokta yok. %s adet ürün için ön sipariş kaydı oluşturulacak."
"%s is available for purchase in increments of %s only.","%s, %s miktar attırımı için alışverişe uygundur."
"%s is not a correct comparsion method.","%s geçerli bir karşılaştırma yöntemi değil."
"<strong>Note</strong> that these settings are applicable to cart line items, not the whole cart.","<strong>Not:</strong> Bu ayarlar sadece sipariş satırlarını etkiler, siparişin genelini etkilemez."
"Add Minimum Qty","En az Miktarda Ekle"
"Allow Qty Below 0","Sıfırın altındaki miktara izin ver"
"Allow Qty Below 0 and Notify Customer","Sıfırın altındaki miktara izin ver ve müşteriye bildir"
"Automatically Return Credit Memo Item to Stock","İade Kaydı oluşturulan Ürünü Stoğa Otomatik Geri Yükle"
"Backorders","Ön Siparişler"
"By Fixed value","Sabit değer ile"
"By Percentage","Yüzdeyle"
"Cannot specify product identifier for the order item.","Bu sipariş ürünü için herhangi bir ürün tanımlayıcısı belirtilmemiş."
"Catalog Inventory","Katalog Envanteri"
"Decrease Stock When Order is Placed","Sipariş verildiğinde stoğu düşür"
"Display Out of Stock Products","Stokta mevcut olmayan ürünleri göster"
"Display products availability in stock in the frontend","Ön Sayfada stokta mevcut ürünleri göster"
"Enable Qty Increments","Miktar Arttırımını Aktif et"
"In Stock","stokta mevcut"
"Index Product Stock Status","Ürün Stok Durumlarını İndeksle"
"Inventory","Envanter"
"Inventory API","Envanter API si"
"Inventory Section","Envanter Bölümü"
"Manage Stock","Stok Yönetimi"
"Maximum Qty Allowed in Shopping Cart","Sepette izin verilen en yüksek miktar"
"Minimum Qty","En az Adet"
"Minimum Qty Allowed in Shopping Cart","Sepette izin verilen en düşük miktar"
"Multi update product stock data","Çoklu güncelleme ürün stok verisi"
"No Backorders","Ön sipariş kabul edilmez"
"Not all products are available in the requested quantity","İstenilen miktarda ürün stokta bulunmamaktadır."
"Notify for Quantity Below","Miktar Aşağısını Bildir"
"Only X left Threshold","Sadece X adet kaldı Uyarısı"
"Out of Stock","Stok mevcut değil"
"Product Stock Options","Ürün Stok Seçenekleri"
"Products will still be shown by direct product URLs.","Ürünler, direkt ürün URL leri ile gösterilecektir."
"Qty Increments","Miktar Arttırımı"
"Qty for Item's Status to Become Out of Stock","Stokta yok durumu için ürün miktarı"
"Retrieve stock data","Stok bilgisi getir"
"Retrieve stock data by product ids","Ürün numaralarına göre stok bilgisi getir"
"Rule price","Kural fiyatı"
"Set Items' Status to be In Stock When Order is Cancelled","Sipariş iptal edildiğinde ürünü iade al ve Stokta göster"
"Some of the products are currently out of stock.","Ürünlerin bazıları şu anda stokta değildir."
"Some of the products cannot be ordered in requested quantity.","İstenen bazı ürünler istendiği adette siparişe eklenemez."
"Some of the products cannot be ordered in the requested quantity.","İstenen bazı ürünler istendiği adette siparişe eklenemez."
"Stock Options","Stok Seçenekleri"
"Stock Status","Stok Durumu"
"The maximum quantity allowed for purchase is %s.","Sipariş için izin verilen en yüksek miktar %s."
"The minimum quantity allowed for purchase is %s.","Sipariş için izin verilen en düşük miktar %s."
"The requested quantity for ""%s"" is not available.","""%s"" adlı ürün için talep ettiğiniz miktar stokta bulunmamaktadır."
"The stock item for Product in option is not valid.","Seçenekteki ürün için stok geçerli değildir."
"The stock item for Product is not valid.","Bu ürün için stok bilgisi hatalı."
"This product is available for purchase in increments of %s only.","Bu ürün gereken artırma %s ile alındığında satın almaya açıktır."
"This product is currently out of stock.","Ürün şu anda stokta mevcut değil."
"This product is not available in the requested quantity. %s of the items will be backordered.","Bu üründen istenilen miktar, stokta mevcut değil. İstenilen %s adet önsipariş olarak alınacak."
"To Fixed Value","Sabit Değere"
"To Percentage","Yüzde için"
"Undefined product type.","Tanımlanmamış ürün tipi."
"Update","Güncelle"
"Update product stock data","Ürün stok verisini güncelle"
"Update the Product","Ürünü Güncelle"
