"Actions","İşlemler"
"Add Answer","Cevap Ekle"
"Add New Answer","Yeni Cevap Ekle"
"Add New Poll","Anket Ekle"
"Answer Title","Cevap Başlığı"
"Answer Title:","Cevap Başlığı:"
"Answer with the same title in this poll","Bu ankette aynı başlıkla kaydedilmiş bir cevap var"
"Are you sure you want to delete it?","Bunu silmek istediğinizden emin misiniz?"
"Assigned Answers","Atanan Cevaplar"
"Closed","Kapatıldı"
"Community Poll","Topluluk Anketi"
"Date Closed","Kapandığı Tarih"
"Date Posted","Gönderildiği Tarih"
"Delete","Sil"
"Delete Answer","Cevabı Sil"
"Delete Poll","Anketi Sil"
"Disallow Voting in a Poll Multiple Times from Same IP-address","Bir Ankere Aynı IP adresinden birden fazla oy kullanılmasına izin verme"
"Edit Answer '%s'","Cevabı Düzenle: '%s'"
"Edit Poll '%s'","Anketi Düzenle '%s'"
"Edit Poll Answer","Anket Cevabını Düzenle"
"ID","No"
"Invalid Answer.","Hatalı Cevap."
"New Poll","Yeni Anket"
"Number of Responses","Cevap Sayısı"
"Open","Açık"
"Poll Answers","Anket Cevapları"
"Poll Information","Anket Bilgisi"
"Poll Manager","Anket Yönetimi"
"Poll Question","Anket Sorusu"
"Poll information","Anket Bilgisi"
"Poll with the same question","Aynı soruyla başka bir anket var"
"Polls","Anketler"
"Save Answer","Cevabı Kaydet"
"Save Poll","Anketi Kaydet"
"Status","Durum"
"The answer has been saved.","Cevap kaydedildi."
"The poll does not exist.","Anket bulunamıyor."
"Unable to find an answer to delete.","Silmek istediğiniz cevap bulunamıyor."
"Visible In","Görünür"
"Vote","Oy Ver"
"Votes Count","Toplam Oy Sayısı"
"Votes Count:","Oy Sayısı:"
