"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d alışveriş kuralları, ""%s"" özelliği için kapatıldı."
"%s Coupon(s) have been generated","%s adet kupon üretildi"
"Actions","İşlemler"
"Active","Aktif"
"Add New Rule","Yeni Kural Ekle"
"Alphabetical","Alfabetik"
"Alphanumeric","Alfasayısal"
"An error occurred while generating coupons. Please review the log and try again.","Kupon oluşturma işleminde bir hata meydana geldi. Lütfen loga bakarak problemi gideriniz."
"Apply","Uygula"
"Apply To","Uygula"
"Apply the rule only if the following conditions are met (leave blank for all products)","Sadece aşağıdaki koşullar oluştuysa kuralı çalıştır (tüm ürünlere uygulanması için boş bırakınız)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Sadece aşağıdaki koşullar ile sepetteki ürünler eşleşiyorsa kuralı çalıştır (tüm ürünlere uygulanması için boş bırakınız)"
"Apply the rule to cart items matching the following conditions","Sadece aşağıdaki koşullar ile sepetteki ürünler eşleşiyorsa kuralı çalıştır"
"Apply to Shipping Amount","Teslimat Tutarını Uygula"
"Are you sure you want to delete the selected coupon(s)?","Seçilen kupon(ları) silmek istediğinizden emin misiniz?"
"Auto","Otomatik"
"Auto Generated Specific Coupon Codes","Otomatik Üretilmiş Özel Kupon Kodları"
"Buy X get Y free (discount amount is Y)","X 'i alırsan Y hediye (indirim tutarı Y 'nin fiyatıdır)"
"By Fixed value","Sabit değer ile"
"By Percentage","Yüzdeyle"
"Can\'t acquire coupon.","Kupon alınamadı."
"Cart Attribute","Sepet Özelliği"
"Catalog","Katalog"
"Code Format","Kod Biçimi"
"Code Length","Kod Uzunluğu"
"Code Prefix","Kod Öneki"
"Code Suffix","Kod Soneki"
"Conditions","Koşullar"
"Conditions combination","Koşullar listesi"
"Coupon","Kupon"
"Coupon Code","Kupon Kodu"
"Coupon Qty","Kupon Adedi"
"Coupon with the same code","Aynı kod ile kupon"
"Coupons Information","Kupon Bilgisi"
"Created On","Oluşturulan"
"Customer Groups","Müşteri Grupları"
"Dash Every X Characters","Her X Karakterde bir tire (-) kullan"
"Date Expire","Bitiş Tarihi"
"Date Start","Başlangıç Tarihi"
"Default Label","Varsayılan Etiket"
"Default Rule Label for All Store Views","Bütün mağaza görünümleri için varsayılan Kural Adı"
"Description","Açıklama"
"Discount Amount","İndirim Tutarı"
"Discount Qty Step (Buy X)","İndirim Adet Adımı (X'i Satın Al)"
"Edit Rule","Kuralı Düzenle"
"Edit Rule '%s'","Kuralı Düzenle '%s'"
"Excluding prefix, suffix and separators.","Önek, sonek ve ayraçlar hariç."
"FOUND","BULUNDU"
"Fixed amount discount","Sabit tutarlı indirim"
"Fixed amount discount for whole cart","Siparişin tamamına sabit tutarlı indirim"
"For matching items only","Sadece eşleşen ürünler için"
"For shipment with matching items","Sevkiyat için eşleşen ürünler"
