"Add Recipient","Alıcı Ekle"
"Allow for Guests","Misafirlere İzin Ver"
"An invalid email address for recipient was entered.","Alıcı e-posta adresi hatalı."
"At least one recipient must be specified.","En az bir alıcı tanımlamalısınız."
"Back","Geri"
"Catalog Product Email to a Friend","Katalog Ürünü Arkadaşına Tavsiye Et"
"Email Address","E-posta Adresiniz"
"Email Address:","E-posta Adresi:"
"Email Templates","E-posta Şablonları"
"Email to a Friend","Arkadaşına Gönder"
"Email:","E-posta:"
"Enabled","Aktif edildi"
"Invalid Sender Information","Hatalı Gönderici Bilgisi"
"Invalid sender email.","Geçersiz gönderici e-postası"
"Limit Sending By","Gönderimi limitle"
"Max Products Sent in 1 Hour","1 Saat içinde gönderilecek en fazla ürün sayısı"
"Max Recipients","En fazla Alıcı sayısı"
"Maximum %d email addresses allowed.","En fazla %d adet e-posta adresine izin veriliyor."
"Message:","Mesaj:"
"Name","Adı"
"Name:","Adı:"
"No more than %d emails can be sent at a time.","Bir seferde %d adetten fazla mail gönderilemez."
"Please define a correct Cookie instance.","Lütfen geçerli bir web çerez adı tanımlayınız."
"Please define a correct Product instance.","Lütfen geçerli bir Ürün adı giriniz."
"Please define the correct Sender information.","Lütfen doğru gönderici bilgisini tanıımlayınız."
"Recipient:","Alıcı:"
"Remove Email","E-posta Adresini Sil"
"Select Email Template","E-posta Şablonu Seçiniz"
"Send Email","E-posta Gönder"
"Send product to a friend","Arkadaşına ürünü tavsiye et"
"Sender:","Gönderici:"
"Some emails were not sent.","Bazı mailler gönderilemedi."
"The link to a friend was sent.","Bağlantı arkadaşınıza gönderildi."
"The message cannot be empty.","Mesaj boş bırakılamaz."
"The messages cannot be sent more than %d times in an hour","Bir saatte %d adetten fazla mail gönderilemez"
"The sender name cannot be empty.","Gönderici adı boş olmamalıdır."
"There were some problems with the data.","Veri ile ilgili bazı problemler var."
"You have exceeded limit of %d sends in an hour","1 saat içinde gönderilebilecek mesaj limitini ( %d ) aştınız"
