"%1$s has been updated in your wishlist.","Takip listenizdeki %1$s güncellendi."
"%d product(s) have been added to shopping cart: %s.","%d ürün sepete eklendi: %s."
"%s for ""%s"".","%s => ""%s""."
"%s has been moved to wishlist %s","%s adlı ürün, %s takip listenizden kaldırıldı"
"%s's Wishlist","%s Takip Listesi"
"* Required Fields","* Zorunlu Alanlar"
"Add All to Cart","Hepsini Sepete Ekle"
"Add to Cart","Sepete Ekle"
"Add to Compare","Karşılaştırma Listesine Ekle"
"Add to Wishlist","Takip Listesine Ekle"
"Added From","Eklendiği Yer"
"An error occurred while adding item to wishlist.","Ürün takip listesine eklenirken bir hata meydana geldi."
"An error occurred while adding item to wishlist: %s","Takip listesine ürün eklenirken bir hata meydana geldi: %s"
"An error occurred while deleting the item from wishlist.","Takip listesinden ürün silinirken bir hata meydana geldi."
"An error occurred while deleting the item from wishlist: %s","Takip listenizden ürün silinirken bir hata meydana geldi: %s"
"An error occurred while updating wishlist.","Takip listesi güncellenirken bir hata meydana geldi."
"Are you sure you want to remove this product from your wishlist?","Takip listenizden bu ürünü silmek istediğinizden emin misiniz?"
"Are you sure you would like to remove this item from the wishlist?","Takip listenizden bu ürünü silmek istediğinizden emin misiniz?"
"Back","Geri"
"Can\'t delete item from wishlist","Takip listesinden ürün silinemedi"
"Can\'t save description %s","Açıklama kaydedilemedi %s"
"Can\'t update wishlist","Takip listesi güncelenemiyor"
"Cannot add item to shopping cart","Alışveriş Sepetine ürün eklenemiyor"
"Cannot add the item to shopping cart.","Ürün sepete eklenemedi."
"Cannot configure product","Ürün yapılandırılamıyor."
"Cannot load wishlist item","Takip listesi ürünü yüklenemedi."
"Cannot move item to wishlist","Ürün takip listenize eklenemedi"
"Cannot specify product.","Ürün seçilemedi."
"Cannot specify wishlist item.","Takip listesi ürünü tanımlanamadı."
"Cannot specify wishlist.","Takip listesi tanımlanmadı."
"Cannot update wishlist","Takip listesi güncellenemiyor"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Takip listenize bir RSS akışı eklemek için bu kutuyu işaretleyin."
"Click for price","Fiyat için tıklayınız"
"Comment","Yorum"
"Comment:","Yorum:"
"Configure Wishlist Item","Takip listesi Ürününü Ayarla"
"Configured Price:","Ayarlanan Fiyat:"
"Could not find wishlist","Takip listesi bulunamadı"
"Customer My Account My Wishlist","Müşteri Hesabım Takip Listem"
"Customer My Account Wishlist Sharing Form","Müşteri Hesabım Takip Listesi Paylaşım Formu"
"Customer Shared Wishlist View","Müşteri Paylaşılmış Takip Listesi Görünümü"
"Date Added","Eklenme Tarihi"
"Days in Wishlist","Takip Listesinde Kalma Süresi"
"Display Wishlist Summary","Takip Listesi Özeti Göster"
"Edit","Düzenle"
"Email Sender","E-posta Göndericisi"
"Email Template","E-posta Şablonu"
"Email address can\'t be empty.","E-posta adresi boş olamaz."
"Email addresses, separated by commas","E-posta adresleri, virgülle ayrılmış"
"Enabled","Aktif edildi"
"General Options","Genel Seçenekler"
"Go to Wishlist","Takip Listesine Git"
"Helper for wishlist options rendering doesn't implement required interface.","Takip Listesi seçenekleri için kullanılan Helper gerekli arayüzü oluşturmuyor."
"In stock","stokta mevcut"
"Last Added Items","Son Eklenen Ürünler"
"Message","Mesaj"
"My Wishlist","Takip Listem"
"My Wishlist (%d item)","Takip Listem (%d ürün)"
"My Wishlist (%d items)","Takip Listem (%d ürün)"
"My Wishlist <small>(%d)</small>","Takip Listem <small>(%d)</small>"
"My Wishlist Link","Takip Listem Linki"
"Options Details","Seçeneklerin Detayları"
"Out of stock","Stok mevcut değil"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Lütfen geçerli e-posta adresleri giriniz ve aralarında virgül kullanınız. Örnek: ayse@abc.com, ahmet@abc.com"
"Please input a valid email address.","Lütfen geçerli bir e-posta adresi giriniz."
"Please, enter your comments...","Lütfen yorumlarınızı giriniz..."
"Product","Ürün"
"Product Details and Comment","Ürün Detayları ve Yorum"
"Product(s) %s have required options. Each of them can be added to cart separately only.","%s adlı ürün(ler) zorunlu olarak doldurulması gereken seçeneklere sahiptir. Her ürün sepete ayrı ayrı eklenmelidir."
"RSS Feed","RSS Veri Akışı"
"RSS link to %s's wishlist","%s takip listesine RSS linki"
"Remove Item","Ürünü Sil"
"Remove This Item","Bu ürünü sil"
"Remove item","Ürünü Sil"
"Requested cart item doesn't exist","İstenen ürün bulunamadı"
"Requested wishlist doesn't exist","İstenen takip listesi bulunamadı"
"Share Options","Paylaşım Seçenekleri"
"Share Wishlist","Takip Listesi Paylaş"
"Share Your Wishlist","Takip Listesiniz Paylaşın"
"Sharing Information","Paylaşım Bilgisi"
"This Wishlist has no Items","Bu takip listesinde ürün yok"
"This product(s) is currently out of stock","Bu ürün(ler) şu anda stokta yok"
"Unable to add the following product(s) to shopping cart: %s.","Bu ürün(ler) sepete eklenemiyor: %s."
"Update Wishlist","Takip Listesini Güncelle"
"User Description","Kullanıcı açıklaması"
"View Details","Detayları Göster"
"View Product","Ürünü Göster"
"What's this?","Bu nedir?"
"Wishlist","Takip Listesi"
"Wishlist Section","Takip Listesi Bölümü"
"Wishlist Sharing","Takip Listesi Paylaşımı"
"Wishlist could not be created.","Takip listesi oluşturulamadı."
"Wishlist is empty now.","Takip listesi şu anda boş."
"You have no items in your wishlist.","Takip listenizde hiç ürün yok."
"Your Wishlist has been shared.","Takip listeniz paylaşıldı."
