"Add","Ekle"
"Add gift message for shopping cart","Alışveriş Sepetine hediye mesajlarını ekle"
"Add gift messages for quote item of shopping cart","Sipariş satırı için hediye mesajı ekle"
"Add gift messages to products of shopping cart","Sepetteki ürünlere hediye mesajı ekle"
"Add gift options","Hediye seçenekleri ekle"
"Add gift options for Individual Items","Tekil ürünler için hediye seçenekleri ekle"
"Add gift options for the Entire Order","Siparişin Tamamı için hediye seçenekleri ekle"
"Add gift options.","Hediye seçenekleri ekle."
"Allow Gift Messages for Order Items","Sepetteki her ürün için hediye mesajına izin ver"
"Allow Gift Messages on Order Level","Siparişe Hediye Mesajı Eklemeye İzin Ver"
"An error occurred while saving the gift message.","Hediye mesajı kaydedilirken bir hata meydana geldi."
"Are you sure?","Emin misiniz?"
"Cancel","İptal"
"Do you have any gift items in your order?","Siparişinizde herhangi bir hediye ürünü var mı?"
"Edit","Düzenle"
"From","Baş"
"Gift Message","Hediye Mesajı"
"Gift Message API","Hediye Mesajı API si"
"Gift Options","Hediye Seçenekleri"
"Gift Options for","Hediye seçenekleri "
"Gift Options for Individual Items","Tekil ürünler için hediye seçenekleri"
"Gift Options for the Entire Order.","Siparişin Tamamı için Hediye Seçenekleri."
"Gift Options for this address.","Bu adres için hediye seçenekleri."
"Item %d of %d","Gösterilen: %d / Toplam: %d"
"Message","Mesaj"
"No","Hayır"
"OK","TAMAM"
"Save Gift Message","Hediye Mesajını Kaydet"
"The gift message has been removed","Hediye mesajı silindi"
"The gift message has been saved","Hediye mesajı kaydedildi"
"The gift message has been saved.","Hediye mesajı kaydedildi."
"To","Bit"
"Unknown entity type","Bilinmeyen entity tipi"
"Use config","Yapılandırmayı kullan"
"Yes","Evet"
"You can leave this box blank if you do not wish to add a gift message for the item.","Ürünler için hediye mesajı eklemek istemiyorsanız bu linki boş bırakabilirsiniz."
"You can leave this box blank if you do not wish to add a gift message for this address.","Eğer bu adres için hediye mesajı eklemek isterseniz bu kutuyu boş bırakınız."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Siparişin tamamı için bir hediye mesajı eklemek istemiyorsanız bu alanı boş bırakınız."
