"""Remember Me"" Default Value","""Beni Hatırla"" Varsayılan Değer"
"(Not %s?)","(%s değilse?)"
"* Required Fields","* Zorunlu Alanlar"
"Address","Adres"
"Address Information","Adres Bilgisi"
"Already registered?","Zaten kayıtlı?"
"Back","Geri"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Eğer mağazamıza üye olursanız; alışveriş işlemlerinizi daha hızlı gerçekleştirir, birden fazla adresinizi sisteme kaydedebilir, siparişlerinizi görebilir ve takip edebilir ve daha bir çok işlemi hızlı ve kolay bir şekilde gerçekleştirebilirsiniz."
"Cannot load configuration from file %s.","%s dosyasından ayarlar yüklenemedi."
"Checkout as Guest","Misafir olarak Alışveriş"
"Checkout as a Guest or Register","Misafir veya Üye Olarak Alışveriş"
"City","Şehir"
"Clear Persistence on Log Out","Çıkış yapılınca kalıcı oturumu temizle"
"Close","Kapat"
"Company","Şirket"
"Confirm Password","Yeni Şifre (Tekrar)"
"Continue","Devam et"
"Country","Ülke"
"Create an Account","Bir Hesap Oluştur"
"Easy access to your order history and status","Sipariş geçmişinize ve durumuna kolay erişim"
"Email Address","E-posta Adresiniz"
"Enable ""Remember Me""","""Beni Hatırla"" özelliğini aç"
"Enable Persistence","Kalıcı Oturum özelliğini aç"
"Fast and easy check out","Hızlı ve Kolay Alışveriş"
"Fax","Faks"
"Forgot Your Password?","Şifrenizi mi Unuttunuz?"
"Forgot your password?","Şifrenizi mi Unuttunuz?"
"General Options","Genel Seçenekler"
"If you have an account with us, please log in.","Eğer hesabınız varsa, lütfen giriş yapınız."
"Loading next step...","Bir sonraki adım yükleniyor..."
"Login","Login"
"Login Information","Giriş Bilgisi"
"Login or Create an Account","Giriş yapın veya Yeni Bir Hesap Açın"
"New Customers","Yeni Müşteriler"
"Password","Şifre"
"Persist Shopping Cart","Kalıcı Sepet"
"Persistence Lifetime (seconds)","Kalıcı Oturum Süresi (saniye)"
"Persistent Shopping Cart","Kalıcı Sepet"
"Personal Information","Kişisel Bilgi"
"Please log in below:","Lütfen aşağıdan giriş yapınız:"
"Please select region, state or province","Lütfen bölge, eyalet veya şehir seçiniz"
"Register","Kayıt Ol"
"Register and save time!","Üye ol, zaman kazanın!"
"Register to Create an Account","Yeni bir hesap oluşturun"
"Register with us for future convenience:","Kalitemizi kullanmak için üye olun:"
"Registered Customers","Kayıtlı Müşteriler"
"Remember Me","Beni Hatırla"
"Save in address book","Adres defterine kaydet"
"Select State/Province...","Eyalet/Şehir Seçiniz..."
"Select a billing address from your address book or enter a new address.","Adref defterinizden bir fatura adresi seçiniz veya yeni bir adres giriniz."
"Ship to different address","Farklı adrese teslim edilsin"
"Ship to this address","Bu adrese teslim edilsin"
"Shopping cart has been updated with appropriate prices","Alışveriş sepeti hesaplanan fiyatlar ile güncellendi"
"Sign Up for Newsletter","Bülten Servisine Abone Ol"
"State/Province","Eyalet/Şehir"
"Street Address","Adres"
"Street Address %s","Adres %s"
"Submit","Gönder"
"Telephone","Telefon"
"To proceed to Checkout, please log in using your email address.","Siparişinizi tamamlamak için lütfen e-posta adresinizle sisteme giriş yapınız."
"VAT Number","Vergi Numarası"
"Welcome, %s!","Hoşgeldiniz, %s!"
"What\'s this?","Bu nedir?"
"Zip/Postal Code","Zip/Posta Kodu"
